idade,genero,raca_cor,regiao,escolaridade,situacao_trabalho,cargo_original,cargo_padronizado,senioridade,faixa_salarial,salario_estimado,experiencia_dados,experiencia_dados_anos,experiencia_ti,modelo_trabalho,usa_sql,usa_python,usa_r
20,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Cientista de Dados/Data Scientist,Ciência de Dados e IA,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,Menos de 1 ano,0.5,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
20,Feminino,Branca,Centro-oeste,Estudante de Graduação,Estagiário,Outra Opção,Outros cargos,Júnior,Menos de R$ 1.000/mês,500.0,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
20,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,Engenharia de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,1.0,1.0
20,Feminino,Parda,Sudeste,Estudante de Graduação,Empregado (CLT),Outra Opção,Outros cargos,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,0.0,0.0
20,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Outra Opção,Outros cargos,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
20,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Outra Opção,Outros cargos,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
20,Feminino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Outra Opção,Outros cargos,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,0.0,0.0,0.0
20,Masculino,Branca,Sul,Estudante de Graduação,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,Engenharia de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,1.0,0.0
20,Masculino,Branca,Sul,Estudante de Graduação,Estagiário,Professor/Pesquisador,Academia e Pesquisa,Júnior,Menos de R$ 1.000/mês,500.0,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,0.0,0.0,0.0
20,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Analista de BI/BI Analyst,Análise de Dados e BI,Pleno,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 1 a 2 anos,1.5,de 5 a 6 anos,Modelo 100% presencial,1.0,1.0,1.0
20,Masculino,Parda,Norte,Pós-graduação,Servidor Público,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,Menos de R$ 1.000/mês,500.0,Não tenho experiência na área de dados,0.0,de 3 a 4 anos,Modelo 100% remoto,1.0,0.0,0.0
20,Masculino,Branca,Centro-oeste,Estudante de Graduação,Empregado (CLT),Engenheiro de Machine Learning/ML Engineer/AI Engineer,Ciência de Dados e IA,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,de 1 a 2 anos,Modelo 100% presencial,1.0,1.0,0.0
20,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),0.0,0.0,0.0
20,Feminino,Parda,Centro-oeste,Doutorado ou Phd,Prefiro não informar,Outra Opção,Outros cargos,Júnior,Menos de R$ 1.000/mês,500.0,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,,,
20,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,Engenharia de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,1.0,0.0
20,Masculino,Preta,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),0.0,1.0,0.0
20,Masculino,Branca,Sudeste,Graduação/Bacharelado,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,1.0,0.0
20,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
20,Masculino,Parda,Sul,Estudante de Graduação,Empregado (CLT),Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
20,Masculino,Parda,Nordeste,Graduação/Bacharelado,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,de 1 a 2 anos,1.5,Menos de 1 ano,Modelo 100% presencial,1.0,1.0,0.0
21,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,1.0,0.0
21,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados/Data Scientist,Ciência de Dados e IA,Júnior,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 3 a 4 anos,3.5,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
21,Masculino,Parda,Nordeste,Estudante de Graduação,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,de 3 a 4 anos,3.5,Menos de 1 ano,Modelo 100% remoto,1.0,0.0,1.0
21,Feminino,Preta,Centro-oeste,Estudante de Graduação,Empreendedor ou Empregado (CNPJ),Analista de Negócios/Business Analyst,Análise de Dados e BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,5000.5,de 3 a 4 anos,3.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,1.0,0.0
21,Feminino,Branca,Sudeste,Estudante de Graduação,Empreendedor ou Empregado (CNPJ),Analista de Negócios/Business Analyst,Análise de Dados e BI,Pleno,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,1.0,0.0,0.0
21,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,,,
21,Masculino,Parda,Sudeste,Graduação/Bacharelado,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Não tenho experiência na área de dados,0.0,de 1 a 2 anos,Modelo 100% remoto,0.0,0.0,0.0
21,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
21,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Ciência de Dados e IA,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
